#Time	 Transmitted Flux
933	9.32729e-06
934	9.32888e-06
935	9.32138e-06
936	9.30481e-06
937	9.27925e-06
938	9.24475e-06
939	9.20143e-06
940	9.14939e-06
941	9.08876e-06
942	9.01968e-06
943	8.94232e-06
944	8.85685e-06
945	8.76345e-06
946	8.66235e-06
947	8.55375e-06
948	8.4379e-06
949	8.31503e-06
950	8.18542e-06
951	8.04933e-06
952	7.90705e-06
953	7.75888e-06
954	7.60511e-06
955	7.44607e-06
956	7.28208e-06
957	7.11347e-06
958	6.94059e-06
959	6.76377e-06
960	6.58338e-06
961	6.39978e-06
962	6.21332e-06
963	6.02438e-06
964	5.83332e-06
965	5.64052e-06
966	5.44635e-06
967	5.25119e-06
968	5.05542e-06
969	4.8594e-06
970	4.66352e-06
971	4.46814e-06
972	4.27364e-06
973	4.08038e-06
974	3.88872e-06
975	3.69901e-06
976	3.5116e-06
977	3.32685e-06
978	3.14508e-06
979	2.96663e-06
980	2.79181e-06
981	2.62095e-06
982	2.45433e-06
983	2.29226e-06
984	2.13502e-06
985	1.98287e-06
986	1.83608e-06
987	1.6949e-06
988	1.55957e-06
989	1.43029e-06
990	1.3073e-06
991	1.19078e-06
992	1.08091e-06
993	9.77876e-07
994	8.81818e-07
995	7.92881e-07
996	7.11191e-07
997	6.36859e-07
998	5.6998e-07
999	5.10634e-07
1000	4.58888e-07
1001	4.14791e-07
1002	3.78378e-07
1003	3.49669e-07
1004	3.28666e-07
1005	3.1536e-07
1006	3.09724e-07
1007	3.11716e-07
1008	3.21281e-07
1009	3.38347e-07
1010	3.62829e-07
1011	3.94627e-07
1012	4.33628e-07
1013	4.79705e-07
1014	5.32716e-07
1015	5.92508e-07
1016	6.58915e-07
1017	7.31758e-07
1018	8.10847e-07
1019	8.95979e-07
1020	9.86943e-07
1021	1.08351e-06
1022	1.18546e-06
1023	1.29254e-06
1024	1.4045e-06
1025	1.52108e-06
1026	1.64202e-06
1027	1.76703e-06
1028	1.89584e-06
1029	2.02816e-06
1030	2.1637e-06
1031	2.30216e-06
1032	2.44324e-06
1033	2.58663e-06
1034	2.73202e-06
1035	2.87911e-06
1036	3.02758e-06
1037	3.17712e-06
1038	3.32742e-06
1039	3.47815e-06
1040	3.62901e-06
1041	3.77969e-06
1042	3.92988e-06
1043	4.07927e-06
1044	4.22755e-06
1045	4.37443e-06
1046	4.51961e-06
1047	4.6628e-06
1048	4.80371e-06
1049	4.94206e-06
1050	5.07759e-06
1051	5.21002e-06
1052	5.3391e-06
1053	5.46457e-06
1054	5.58619e-06
1055	5.70373e-06
1056	5.81697e-06
1057	5.92569e-06
1058	6.02968e-06
1059	6.12875e-06
1060	6.22272e-06
1061	6.31142e-06
1062	6.39468e-06
1063	6.47235e-06
1064	6.54429e-06
1065	6.61039e-06
1066	6.67053e-06
1067	6.7246e-06
1068	6.77252e-06
1069	6.81421e-06
1070	6.84962e-06
1071	6.87868e-06
1072	6.90137e-06
1073	6.91765e-06
1074	6.92753e-06
1075	6.931e-06
1076	6.92807e-06
1077	6.91877e-06
1078	6.90315e-06
1079	6.88125e-06
1080	6.85314e-06
1081	6.81889e-06
1082	6.7786e-06
1083	6.73237e-06
1084	6.6803e-06
1085	6.62252e-06
1086	6.55916e-06
1087	6.49037e-06
1088	6.41629e-06
1089	6.3371e-06
1090	6.25296e-06
1091	6.16406e-06
1092	6.07059e-06
1093	5.97274e-06
1094	5.87072e-06
1095	5.76474e-06
1096	5.65503e-06
1097	5.5418e-06
1098	5.4253e-06
1099	5.30575e-06
1100	5.18341e-06
1101	5.05851e-06
1102	4.93131e-06
1103	4.80205e-06
1104	4.67101e-06
1105	4.53842e-06
1106	4.40456e-06
1107	4.26969e-06
1108	4.13407e-06
1109	3.99795e-06
1110	3.86161e-06
1111	3.72531e-06
1112	3.5893e-06
1113	3.45384e-06
1114	3.31919e-06
1115	3.1856e-06
1116	3.05332e-06
1117	2.9226e-06
1118	2.79368e-06
1119	2.6668e-06
1120	2.54218e-06
1121	2.42006e-06
1122	2.30066e-06
1123	2.18418e-06
1124	2.07084e-06
1125	1.96084e-06
1126	1.85437e-06
1127	1.7516e-06
1128	1.65273e-06
1129	1.55791e-06
1130	1.46731e-06
1131	1.38107e-06
1132	1.29933e-06
1133	1.22223e-06
1134	1.14988e-06
1135	1.0824e-06
1136	1.01989e-06
1137	9.62433e-07
1138	9.10112e-07
1139	8.62996e-07
1140	8.21144e-07
1141	7.84604e-07
1142	7.53411e-07
1143	7.27593e-07
1144	7.07164e-07
1145	6.9213e-07
1146	6.82485e-07
1147	6.78212e-07
1148	6.79283e-07
1149	6.85662e-07
1150	6.973e-07
1151	7.1414e-07
1152	7.36114e-07
1153	7.63143e-07
1154	7.95142e-07
1155	8.32013e-07
1156	8.7365e-07
1157	9.19939e-07
1158	9.70757e-07
1159	1.02597e-06
1160	1.08545e-06
1161	1.14903e-06
1162	1.21657e-06
1163	1.2879e-06
1164	1.36286e-06
1165	1.44127e-06
1166	1.52295e-06
1167	1.60771e-06
1168	1.69537e-06
1169	1.78572e-06
1170	1.87857e-06
1171	1.97372e-06
1172	2.07094e-06
1173	2.17004e-06
1174	2.2708e-06
1175	2.373e-06
1176	2.47642e-06
1177	2.58086e-06
1178	2.68607e-06
1179	2.79186e-06
1180	2.89799e-06
1181	3.00425e-06
1182	3.11041e-06
1183	3.21627e-06
1184	3.32159e-06
1185	3.42618e-06
1186	3.52982e-06
1187	3.6323e-06
1188	3.73341e-06
1189	3.83296e-06
1190	3.93075e-06
1191	4.02658e-06
1192	4.12027e-06
1193	4.21164e-06
1194	4.30051e-06
1195	4.38671e-06
1196	4.47008e-06
1197	4.55045e-06
1198	4.62768e-06
1199	4.70163e-06
1200	4.77215e-06
1201	4.83911e-06
1202	4.9024e-06
1203	4.96191e-06
1204	5.01752e-06
1205	5.06914e-06
1206	5.11667e-06
1207	5.16005e-06
1208	5.19919e-06
1209	5.23404e-06
1210	5.26454e-06
1211	5.29065e-06
1212	5.31232e-06
1213	5.32953e-06
1214	5.34227e-06
1215	5.35052e-06
1216	5.35428e-06
1217	5.35356e-06
1218	5.34837e-06
1219	5.33875e-06
1220	5.32473e-06
1221	5.30635e-06
1222	5.28366e-06
1223	5.25672e-06
1224	5.2256e-06
1225	5.19038e-06
1226	5.15113e-06
1227	5.10796e-06
1228	5.06095e-06
1229	5.01022e-06
1230	4.95588e-06
1231	4.89804e-06
1232	4.83683e-06
1233	4.77239e-06
1234	4.70485e-06
