#Time	 Transmitted Flux
1254	8.46176e-06
1255	8.3729e-06
1256	8.28612e-06
1257	8.20157e-06
1258	8.1194e-06
1259	8.03977e-06
1260	7.9628e-06
1261	7.88863e-06
1262	7.8174e-06
1263	7.74922e-06
1264	7.68419e-06
1265	7.62244e-06
1266	7.56405e-06
1267	7.50912e-06
1268	7.45772e-06
1269	7.40993e-06
1270	7.36583e-06
1271	7.32546e-06
1272	7.28887e-06
1273	7.25611e-06
1274	7.22721e-06
1275	7.2022e-06
1276	7.18109e-06
1277	7.1639e-06
1278	7.15061e-06
1279	7.14123e-06
1280	7.13574e-06
1281	7.13411e-06
1282	7.13631e-06
1283	7.14231e-06
1284	7.15205e-06
1285	7.16548e-06
1286	7.18254e-06
1287	7.20315e-06
1288	7.22725e-06
1289	7.25475e-06
1290	7.28555e-06
1291	7.31957e-06
1292	7.35669e-06
1293	7.39681e-06
1294	7.43982e-06
1295	7.48559e-06
1296	7.534e-06
1297	7.58493e-06
1298	7.63822e-06
1299	7.69376e-06
1300	7.75138e-06
1301	7.81096e-06
1302	7.87233e-06
1303	7.93534e-06
1304	7.99984e-06
1305	8.06567e-06
1306	8.13267e-06
1307	8.20068e-06
1308	8.26953e-06
1309	8.33906e-06
1310	8.4091e-06
1311	8.47948e-06
1312	8.55005e-06
1313	8.62063e-06
1314	8.69107e-06
1315	8.76118e-06
1316	8.83082e-06
1317	8.89982e-06
1318	8.96801e-06
1319	9.03525e-06
1320	9.10137e-06
1321	9.16622e-06
1322	9.22966e-06
1323	9.29153e-06
1324	9.35169e-06
1325	9.41e-06
1326	9.46633e-06
1327	9.52055e-06
1328	9.57252e-06
1329	9.62213e-06
1330	9.66926e-06
1331	9.7138e-06
1332	9.75563e-06
1333	9.79467e-06
1334	9.83081e-06
1335	9.86396e-06
1336	9.89404e-06
1337	9.92098e-06
1338	9.94469e-06
1339	9.96513e-06
1340	9.98222e-06
1341	9.99591e-06
1342	1.00062e-05
1343	1.00129e-05
1344	1.00162e-05
1345	1.00159e-05
1346	1.00121e-05
1347	1.00047e-05
1348	9.99376e-06
1349	9.97922e-06
1350	9.96113e-06
1351	9.93948e-06
1352	9.9143e-06
1353	9.88562e-06
1354	9.85348e-06
1355	9.8179e-06
1356	9.77894e-06
1357	9.73665e-06
1358	9.69109e-06
1359	9.64232e-06
